timestamp,series,trial_id,mode,model,alpha,beta,sharpe_w,return,sharpe,reward,params_json
2025-07-19T19:43:21,SINGLE_sac_50trials_250719_140900,trial_020,single,sac,0.875,0.003,0.28,0.2349,0.6990,0.4328,"{""erl"": {""learning_rate"": 4.430596162305131e-05, ""batch_size"": 4096, ""gamma"": 0.9510896599228468, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8746478298588412, ""beta"": 0.0031478087074575042, ""sharpe_w"": 0.28322107426972143}"
2025-07-19T19:55:26,SINGLE_sac_50trials_250719_140900,trial_021,single,sac,0.744,0.054,0.27,0.1780,0.5046,0.3129,"{""erl"": {""learning_rate"": 0.00011745288410184974, ""batch_size"": 4096, ""gamma"": 0.998822905640477, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7441345263683827, ""beta"": 0.053728358271793064, ""sharpe_w"": 0.26744876399039663}"
2025-07-19T20:07:29,SINGLE_sac_50trials_250719_140900,trial_022,single,sac,0.776,0.147,0.39,0.1456,0.4562,0.3229,"{""erl"": {""learning_rate"": 3.220964215969123e-05, ""batch_size"": 4096, ""gamma"": 0.9909131796916003, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.775512026533116, ""beta"": 0.14686607702183951, ""sharpe_w"": 0.38861100629837}"
2025-07-19T20:19:35,SINGLE_sac_50trials_250719_140900,trial_023,single,sac,0.706,0.063,0.58,0.1372,0.4197,0.3818,"{""erl"": {""learning_rate"": 7.680134629854522e-05, ""batch_size"": 4096, ""gamma"": 0.9956133130700177, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7061422971001065, ""beta"": 0.0633196385485956, ""sharpe_w"": 0.5830050300258649}"
2025-07-19T20:31:40,SINGLE_sac_50trials_250719_140900,trial_024,single,sac,0.825,0.313,0.92,0.1448,0.4762,0.5843,"{""erl"": {""learning_rate"": 1.7428611872970253e-05, ""batch_size"": 8192, ""gamma"": 0.9830688011578322, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.825444280170383, ""beta"": 0.3134800190719761, ""sharpe_w"": 0.9227230894880385}"
2025-07-19T20:43:42,SINGLE_sac_50trials_250719_140900,trial_025,single,sac,0.756,0.434,0.53,0.1411,0.3248,0.3130,"{""erl"": {""learning_rate"": 5.1196430511375175e-05, ""batch_size"": 4096, ""gamma"": 0.990429134962318, ""net_dimension"": 1024, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7558156628090531, ""beta"": 0.4341239158435636, ""sharpe_w"": 0.5293290186576483}"
2025-07-19T20:55:45,SINGLE_sac_50trials_250719_140900,trial_026,single,sac,0.939,0.124,0.17,0.0947,0.2860,0.1443,"{""erl"": {""learning_rate"": 2.5236612612156208e-05, ""batch_size"": 8192, ""gamma"": 0.9948981011080449, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9391959991986092, ""beta"": 0.12402722922273471, ""sharpe_w"": 0.17328078799049}"
2025-07-19T21:07:48,SINGLE_sac_50trials_250719_140900,trial_027,single,sac,0.850,0.032,0.72,0.1142,0.3218,0.3449,"{""erl"": {""learning_rate"": 1.0618058327463096e-05, ""batch_size"": 4096, ""gamma"": 0.9864790631915419, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8503932366394157, ""beta"": 0.032110457959340616, ""sharpe_w"": 0.7167290250801733}"
2025-07-19T21:19:50,SINGLE_sac_50trials_250719_140900,trial_028,single,sac,0.739,0.214,0.94,0.2555,0.6929,0.9058,"{""erl"": {""learning_rate"": 3.938470790792475e-05, ""batch_size"": 2048, ""gamma"": 0.9800243924614584, ""net_dimension"": 256, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7387033977435489, ""beta"": 0.2138484715406679, ""sharpe_w"": 0.9384254357792604}"
2025-07-19T21:31:54,SINGLE_sac_50trials_250719_140900,trial_029,single,sac,0.792,0.074,0.85,0.2023,0.5842,0.7014,"{""erl"": {""learning_rate"": 0.00010723426424009162, ""batch_size"": 8192, ""gamma"": 0.997591723914014, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7924198603527324, ""beta"": 0.07354757124126604, ""sharpe_w"": 0.8542550137841575}"
2025-07-19T21:43:57,SINGLE_sac_50trials_250719_140900,trial_030,single,sac,0.811,0.157,0.22,0.1630,0.4717,0.2684,"{""erl"": {""learning_rate"": 0.00015106682634243788, ""batch_size"": 2048, ""gamma"": 0.9977663113727202, ""net_dimension"": 512, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8105931476022097, ""beta"": 0.15666708480580574, ""sharpe_w"": 0.22355455073665853}"
2025-07-19T21:56:00,SINGLE_sac_50trials_250719_140900,trial_031,single,sac,1.141,0.269,0.99,0.2896,0.8862,1.1693,"{""erl"": {""learning_rate"": 3.0499662485746857e-05, ""batch_size"": 2048, ""gamma"": 0.9772685229924429, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.1408991536805813, ""beta"": 0.269207135493748, ""sharpe_w"": 0.9927141979235333}"
2025-07-19T22:08:01,SINGLE_sac_50trials_250719_140900,trial_032,single,sac,1.279,0.418,0.99,0.2078,0.5627,0.7672,"{""erl"": {""learning_rate"": 2.9021439079506707e-05, ""batch_size"": 2048, ""gamma"": 0.9715979658432701, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.2791425740235478, ""beta"": 0.4176240734669137, ""sharpe_w"": 0.9940773215265375}"
